combo,side,entry_time,exit_time,entry,exit,reason,pnl,r_multiple,bars_held
5m+30m,long,2024-02-13 00:40:00,2024-02-13 00:45:00,1.0774,1.07707,signal,-529.8797327487267,-0.8531855955678989,1
5m+30m,short,2024-02-23 23:25:00,2024-02-23 23:25:00,1.08199,1.08221,signal,-491.9703085482629,-0.7989623865107642,0
5m+30m,short,2024-03-08 08:10:00,2024-03-08 08:10:00,1.09457,1.09476,signal,-451.34424526600395,-0.7388888888889033,0
5m+30m,short,2024-03-12 12:05:00,2024-03-12 12:05:00,1.0927200000000001,1.093097142857143,sl,-606.3283932456793,-1.0,0
5m+30m,short,2024-03-18 08:00:00,2024-03-18 08:00:00,1.08864,1.0888242857142858,sl,-600.2651093132225,-1.0,0
5m+30m,short,2024-04-02 04:50:00,2024-04-02 05:30:00,1.07321,1.07338,signal,-246.18705840975375,-0.4142732811140767,8
5m+30m,long,2024-04-15 03:30:00,2024-04-15 03:30:00,1.06494,1.0645900000000001,signal,-627.6672899168052,-1.0606060606057954,0
5m+30m,long,2024-04-16 13:50:00,2024-04-16 13:55:00,1.06278,1.06255,signal,-269.72632409897176,-0.4606580829754931,1
5m+30m,long,2024-04-19 12:10:00,2024-04-19 13:00:00,1.0652599999999999,1.0655400000000002,signal,281.01850847066,0.4821648216488058,10
5m+30m,short,2024-05-06 08:00:00,2024-05-06 08:05:00,1.07621,1.076409285714286,sl,-585.6368365805416,-1.0,1
5m+30m,short,2024-05-10 07:30:00,2024-05-10 07:35:00,1.07752,1.0776282142857143,sl,-579.7804682147363,-1.0,1
5m+30m,short,2024-05-10 15:30:00,2024-05-10 15:40:00,1.07776,1.0771296428571429,tp,956.6377725544271,1.6666666666668624,2
5m+30m,long,2024-05-14 10:50:00,2024-05-14 10:50:00,1.07877,1.07868,signal,-183.58846241822292,-0.31460674157292035,0
5m+30m,short,2024-05-16 23:00:00,2024-05-16 23:25:00,1.08664,1.08667,signal,-92.02242025840499,-0.15819209039535453,5
5m+30m,long,2024-06-19 13:10:00,2024-06-19 13:30:00,1.07384,1.0746292857142856,tp,967.9882207192171,1.6666666666671355,4
5m+30m,long,2024-06-21 07:40:00,2024-06-21 07:40:00,1.0717999999999999,1.0716949999999998,sl,-590.472814638559,-1.0,0
5m+30m,long,2024-07-16 13:00:00,2024-07-16 13:40:00,1.08985,1.08995,signal,118.60801754914047,0.20289855072464422,8
5m+30m,long,2024-07-19 16:00:00,2024-07-19 16:00:00,1.08896,1.08863,signal,-348.959929078489,-0.5957446808508592,0
5m+30m,long,2024-07-23 00:15:00,2024-07-23 00:15:00,1.08889,1.0887900000000001,signal,-201.27664057421632,-0.3456790123448072,0
5m+30m,short,2024-07-24 03:00:00,2024-07-24 03:20:00,1.08491,1.0846939285714288,tp,967.0863349509024,1.6666666666649539,4
5m+30m,long,2024-07-26 14:30:00,2024-07-26 14:30:00,1.0856999999999999,1.08537,signal,-534.4005312081957,-0.9058823529413127,0
5m+30m,short,2024-07-30 05:25:00,2024-07-30 05:45:00,1.08162,1.08175,signal,-296.77354515920933,-0.5076708507671698,4
5m+30m,short,2024-07-31 21:10:00,2024-07-31 21:25:00,1.08081,1.08137,signal,-617.863094943769,-1.0623306233058483,3
5m+30m,long,2024-07-31 23:25:00,2024-07-31 23:55:00,1.08255,1.08241,signal,-123.6674663935629,-0.21491228070147333,6
5m+30m,short,2024-08-07 20:50:00,2024-08-07 21:20:00,1.0922100000000001,1.09229,signal,-107.7217909707937,-0.18760469011690492,6
5m+30m,long,2024-08-15 14:05:00,2024-08-15 14:30:00,1.1011199999999999,1.10104,signal,-192.76054295397077,-0.33633633633568877,5
5m+30m,long,2024-08-21 17:45:00,2024-08-21 18:10:00,1.11246,1.11259,signal,44.9737073839359,0.078736751027453,5
5m+30m,short,2024-09-05 04:50:00,2024-09-05 05:15:00,1.1080100000000002,1.10808,signal,-103.74217056353226,-0.1814814814809783,5
5m+30m,short,2024-09-10 13:00:00,2024-09-10 13:50:00,1.10381,1.1039299999999999,signal,-175.57018768376338,-0.3076923076921325,10
5m+30m,short,2024-09-20 22:20:00,2024-09-20 22:25:00,1.1162400000000001,1.11653,signal,-493.48728138182605,-0.8675213675207402,1
5m+30m,short,2024-09-23 05:05:00,2024-09-23 05:10:00,1.11561,1.1159035714285714,sl,-563.9125352819,-1.0,1
5m+30m,long,2024-10-03 13:45:00,2024-10-03 14:15:00,1.10395,1.1038000000000001,signal,-155.38424928430572,-0.2783300198804823,6
5m+30m,long,2024-10-11 00:30:00,2024-10-11 01:00:00,1.09345,1.09336,signal,-80.48957601481317,-0.14457831325289602,6
5m+30m,short,2024-10-15 05:15:00,2024-10-15 06:10:00,1.09043,1.09021,signal,419.6610756772018,0.7549019607845902,11
5m+30m,short,2024-10-17 08:45:00,2024-10-17 08:55:00,1.0852600000000001,1.085425,sl,-560.1112824328617,-1.0,2
5m+30m,long,2024-10-29 09:30:00,2024-10-29 09:55:00,1.08118,1.0808900000000001,signal,-430.0499118643249,-0.7755491881563267,5
5m+30m,long,2024-10-31 11:15:00,2024-10-31 11:25:00,1.08586,1.08565,signal,-198.96881073067058,-0.3616236162361793,2
5m+30m,long,2024-11-14 16:00:00,2024-11-14 16:25:00,1.05307,1.0551771428571428,tp,913.6999706376386,1.6666666666666667,5
5m+30m,short,2024-11-21 11:15:00,2024-11-21 11:20:00,1.05308,1.0518175,tp,928.9283034815993,1.6666666666666667,1
5m+30m,short,2024-11-28 04:35:00,2024-11-28 04:55:00,1.05534,1.05575,signal,-406.82295957610046,-0.7179487179488176,4
5m+30m,long,2024-12-04 13:35:00,2024-12-04 13:55:00,1.0505499999999999,1.0504200000000001,signal,-120.59976733323332,-0.21436984687829655,4
5m+30m,short,2024-12-06 18:50:00,2024-12-06 19:30:00,1.05634,1.0560399999999999,signal,150.70390277989125,0.2684563758391235,8
5m+30m,long,2024-12-10 23:30:00,2024-12-10 23:50:00,1.05273,1.0525900000000001,signal,-238.79718413167473,-0.4242424242419145,4
5m+30m,short,2024-12-12 12:25:00,2024-12-12 12:55:00,1.0505900000000001,1.049534642857143,tp,934.1518417354048,1.6666666666669003,6
5m+30m,short,2024-12-18 00:00:00,2024-12-18 00:00:00,1.04854,1.0487917857142857,sl,-569.8326234585182,-1.0,0
