symbol,name,base,htf,entry_thr,exit_mode,exit_thr,htf_m_min,sl_atr,tp_atr,trail_atr,be_at_r,sides,session,n,ret,pf,wr,dd,sharpe,avg_bars,final,score
US30,1h+1d_e15_zero_hm0_s1.5_t3.5_long,1h,1d,15.0,zero,0.0,0.0,1.5,3.5,0.0,0.0,long,all,1120,28.927304433014033,1.0595771827293172,45.17857142857143,-21.682577086597533,0.36013213192127597,1.6901785714285715,128927.30443301404,4.278930248561867
US30,1h+1d_e15_zero_hm0_s2.0_t4.0_both,1h,1d,15.0,zero,0.0,0.0,2.0,4.0,0.0,0.0,both,all,1528,7.570834153456318,1.0152556603846572,46.72774869109948,-28.651569558140054,0.16175245814846795,2.482329842931937,107570.83415345631,-17.262461578003006
US30,1h+1d_e15_zero_hm0_s2.0_t4.0_long,1h,1d,15.0,zero,0.0,0.0,2.0,4.0,0.0,0.0,long,all,1102,12.92198432579399,1.0346784245324452,47.0961887477314,-16.66180433217912,0.23936305127766175,1.941016333938294,112921.98432579398,-16.4038521620078
US30,1h+1d_e15_zero_hm12_s1.5_t2.5_both,1h,1d,15.0,zero,0.0,12.0,1.5,2.5,0.0,0.0,both,all,1157,-21.710197782160854,0.9446516411634565,45.116681071737254,-31.435619945787085,-0.2984890141128845,2.055315471045808,78289.80221783914,-19.411937127378604
US30,1h+1d_e15_zero_hm12_s1.5_t2.5_long,1h,1d,15.0,zero,0.0,12.0,1.5,2.5,0.0,0.0,long,all,872,-6.136126851374469,0.9812024307945895,45.98623853211009,-18.574588414711645,-0.0697831706746432,1.56651376146789,93863.87314862553,-17.840097289668936
US30,1h+1d_e15_zero_hm12_s1.5_t3.5_both,1h,1d,15.0,zero,0.0,12.0,1.5,3.5,0.0,0.0,both,all,1151,-4.311622147415739,0.9894928022607006,44.39617723718506,-29.206254895295412,-0.017154462676014722,2.158123370981755,95688.37785258426,-18.092714770070717
US30,1h+1d_e15_zero_hm12_s1.5_t3.5_long,1h,1d,15.0,zero,0.0,12.0,1.5,3.5,0.0,0.0,long,all,868,14.579494811742077,1.0420509977166863,45.16129032258065,-17.663996824931203,0.22191364482797185,1.6785714285714286,114579.49481174207,-16.385382118993892
US30,1h+1d_e15_zero_hm12_s2.0_t4.0_both,1h,1d,15.0,zero,0.0,12.0,2.0,4.0,0.0,0.0,both,all,1136,-9.927816318091498,0.9691189317879236,46.0387323943662,-24.721300208828456,-0.10122077121904335,2.403169014084507,90072.1836819085,-18.314998488435556
US30,1h+1d_e15_zero_hm12_s2.0_t4.0_long,1h,1d,15.0,zero,0.0,12.0,2.0,4.0,0.0,0.0,long,all,853,12.778533726919106,1.0468036350822163,47.24501758499414,-15.036337200127614,0.2533616880421642,1.9320046893317702,112778.53372691911,-16.293260519159553
US30,1h+1d_e15_zero_hm25_s1.5_t2.5_both,1h,1d,15.0,zero,0.0,25.0,1.5,2.5,0.0,0.0,both,all,865,-16.620307190217776,0.942789120496776,44.50867052023121,-23.267164735470736,-0.22566205351398164,2.0115606936416186,83379.69280978222,-18.77701915605657
US30,1h+1d_e15_zero_hm25_s1.5_t2.5_long,1h,1d,15.0,zero,0.0,25.0,1.5,2.5,0.0,0.0,long,all,655,-5.391615769724744,0.9770646628492419,45.64885496183206,-15.101921516597205,-0.04715944694088744,1.5206106870229008,94608.38423027526,-17.647819004741105
US30,1h+1d_e15_zero_hm25_s1.5_t3.5_both,1h,1d,15.0,zero,0.0,25.0,1.5,3.5,0.0,0.0,both,all,860,0.3669526329549422,1.0012033870849855,43.72093023255814,-26.033223237602343,0.06605999842787974,2.1151162790697673,100366.95263295494,-17.624552358831615
US30,1h+1d_e15_zero_hm25_s1.5_t3.5_long,1h,1d,15.0,zero,0.0,25.0,1.5,3.5,0.0,0.0,long,all,652,11.464273260203273,1.0464609643246248,44.785276073619634,-18.489433915791786,0.22729173229959568,1.633435582822086,111464.27326020326,-16.523916416962585
US30,1h+1d_e15_zero_hm25_s2.0_t4.0_both,1h,1d,15.0,zero,0.0,25.0,2.0,4.0,0.0,0.0,both,all,847,-5.810630852579168,0.9759448289791395,45.100354191263285,-28.588677114642923,-0.05139600245522085,2.382526564344746,94189.36914742083,-18.213204249923866
