side,entry_time,exit_time,entry,exit,reason,pnl,bars,set,side_s
1,2021-03-26 12:50:00,2021-03-26 13:20:00,32705.7,32682.02142857143,sl,-364.16015386388136,6,A_5m_30m_1h,long
1,2021-03-26 13:25:00,2021-03-26 14:00:00,32695.2,32725.735714285714,tp,600.8642538754282,7,A_5m_30m_1h,long
1,2021-03-26 15:10:00,2021-03-26 16:00:00,32768.2,32744.146428571425,sl,-366.52719486399684,10,A_5m_30m_1h,long
1,2021-03-26 16:15:00,2021-03-26 16:45:00,32761.7,32734.325,sl,-362.86192291535684,6,A_5m_30m_1h,long
1,2021-03-26 17:00:00,2021-03-26 17:20:00,32759.7,32828.89642857143,tp,598.7221728103389,4,A_5m_30m_1h,long
1,2021-03-26 21:00:00,2021-03-26 21:05:00,32810.2,32768.521428571425,sl,-365.2205254143067,1,A_5m_30m_1h,long
1,2021-03-29 01:45:00,2021-03-29 02:10:00,33051.2,33022.325,sl,-361.56832016016364,5,A_5m_30m_1h,long
1,2021-03-29 02:55:00,2021-03-29 03:00:00,33017.2,33001.771428571425,sl,-357.952636958562,1,A_5m_30m_1h,long
1,2021-03-29 05:45:00,2021-03-29 05:55:00,32979.7,32957.146428571425,sl,-354.3731105889764,2,A_5m_30m_1h,long
1,2021-03-29 07:35:00,2021-03-29 08:00:00,32970.2,32951.825,sl,-350.8293794830866,5,A_5m_30m_1h,long
1,2021-03-29 10:55:00,2021-03-29 11:00:00,32965.2,32926.735714285714,sl,-347.3210856882557,1,A_5m_30m_1h,long
1,2021-03-29 11:30:00,2021-03-29 12:00:00,32924.7,32889.235714285714,sl,-343.84787483137313,6,A_5m_30m_1h,long
1,2021-03-29 14:10:00,2021-03-29 14:35:00,32967.2,32946.46785714285,sl,-340.4093960830594,5,A_5m_30m_1h,long
1,2021-03-29 19:30:00,2021-03-29 19:50:00,33038.2,33116.41428571428,tp,561.6755035370132,4,A_5m_30m_1h,long
1,2021-03-29 20:35:00,2021-03-29 20:45:00,33183.7,33127.985714285714,sl,-342.622057157599,2,A_5m_30m_1h,long
1,2021-03-29 21:10:00,2021-03-29 22:20:00,33149.2,33239.2,tp,565.3263943100384,14,A_5m_30m_1h,long
1,2021-03-29 23:30:00,2021-03-30 03:45:00,33185.7,33137.271428571425,sl,-344.8491005291234,39,A_5m_30m_1h,long
1,2021-03-30 06:15:00,2021-03-30 08:10:00,33198.2,33181.16428571428,sl,-341.4006095238322,23,A_5m_30m_1h,long
1,2021-03-30 09:50:00,2021-03-30 10:25:00,33212.2,33242.28928571428,tp,563.3110057142322,7,A_5m_30m_1h,long
1,2021-03-30 11:05:00,2021-03-30 11:10:00,33240.2,33214.16428571428,sl,-343.6197134857362,1,A_5m_30m_1h,long
1,2021-03-30 11:30:00,2021-03-30 13:50:00,33221.2,33196.28928571428,sl,-340.18351635087885,28,A_5m_30m_1h,long
1,2021-03-30 23:00:00,2021-03-31 01:05:00,33087.2,33032.28928571428,sl,-336.78168118737005,10,A_5m_30m_1h,long
1,2021-03-31 03:25:00,2021-03-31 03:35:00,33072.7,33105.2,tp,555.6897739591606,2,A_5m_30m_1h,long
