side,horizon,n,hit_rate,mean_ret,median_ret,mean_mfe,mean_mae,mfe_mae_ratio,p25,p75,symbol,set,ltf
long,3,2399,49.68736973739058,0.0032266597817068895,0.0,0.12007357561309222,0.12040163086251078,0.9972753255328146,-0.0743785786666777,0.07285310262306544,US30,C_30m_4h_1d,30min
long,5,2399,51.43809920800333,0.004906284863928404,0.0028869610404607593,0.15800528275404674,0.15988195111472153,0.9882621625043329,-0.08719998899318751,0.09988406153740195,US30,C_30m_4h_1d,30min
long,8,2399,53.10546060858691,0.012783599584555572,0.012192767656651662,0.20446459905490744,0.20811443039089847,0.9824623822137869,-0.11482860161411362,0.14386934598265977,US30,C_30m_4h_1d,30min
long,10,2399,52.73030429345561,0.01860516607108865,0.01409134321814965,0.2366192324971618,0.23709752848426704,0.9979827036149936,-0.13333924651012063,0.16999608921258014,US30,C_30m_4h_1d,30min
long,15,2399,53.5639849937474,0.02491094313474053,0.021873882288936775,0.3085344506089828,0.30451289293120987,1.0132065267879526,-0.1751975542069452,0.22035345160495717,US30,C_30m_4h_1d,30min
long,20,2398,53.87823185988324,0.028015874493208297,0.028507785452216744,0.3704443519281983,0.36110694052490866,1.0258577456022215,-0.2113737384264806,0.28412582346880294,US30,C_30m_4h_1d,30min
short,1,1057,48.62819299905393,-0.00589576770071126,0.0,0.12111271097623458,0.125403072332607,0.9657874302713009,-0.0737993233464534,0.06800328291710635,US30,C_30m_4h_1d,30min
short,2,1057,48.15515610217597,-0.007768527940634272,0.0,0.17479281956126416,0.18022101609588242,0.9698803355335078,-0.12213436589646626,0.1037457835750797,US30,C_30m_4h_1d,30min
short,3,1057,47.11447492904446,-0.005771511601218212,-0.0023564897728215266,0.21977427342746292,0.2238323430176116,0.9818700482001862,-0.14454278145772137,0.13589119271787853,US30,C_30m_4h_1d,30min
short,5,1057,47.30368968779565,-0.003039314661255625,-0.0030950170225861177,0.2886580849512778,0.2880141964951147,1.0022356136051578,-0.18436802906005825,0.16534319590993374,US30,C_30m_4h_1d,30min
short,8,1057,47.019867549668874,-0.013327018100778066,-0.008757645187548733,0.37002764937119126,0.36390402566212227,1.0168275789143224,-0.2393340029538448,0.22888884868002662,US30,C_30m_4h_1d,30min
short,10,1057,48.62819299905393,-0.011922498995810623,0.0,0.41683799962313284,0.40836316430846137,1.0207531825967289,-0.28530990946465806,0.27528287898491277,US30,C_30m_4h_1d,30min
short,15,1057,47.39829706717124,-0.03231135278513721,-0.011087486792839496,0.5237218656780729,0.5190854270504645,1.0089319375694161,-0.37909909909909906,0.3305839617325706,US30,C_30m_4h_1d,30min
short,20,1057,46.26300851466414,-0.05386157412314856,-0.04478983677883761,0.6113164730387488,0.6120424221241092,0.9988138909018088,-0.47479651577895193,0.37354917239330593,US30,C_30m_4h_1d,30min
any,1,3456,48.55324074074074,-0.0011286313343016323,0.0,0.08342010564916807,0.08422598496979232,0.9904319394909626,-0.044849889034286834,0.04467554847297419,US30,C_30m_4h_1d,30min
any,2,3456,48.929398148148145,-0.001626521992502766,0.0,0.11946505178696959,0.12218015217908001,0.9777778931873412,-0.06840990461281354,0.06478641308626248,US30,C_30m_4h_1d,30min
any,3,3456,48.90046296296296,0.0004746148882601786,0.0,0.15056652630458234,0.1520353874446698,0.9903386891382638,-0.0873830405309589,0.08566543731195811,US30,C_30m_4h_1d,30min
