side,bars_from_entry,n,hit_pct_at_H,mean_ret_at_H,median_ret_at_H,mean_mfe_in_H,mean_mae_in_H,first_close_favor_pct,first_close_adverse_pct,first_close_none_pct,first_ext_favor_pct,first_ext_adverse_pct,first_ext_none_pct,symbol,set,ltf
short,10,8188,47.0200293111871,-0.00424993706318417,-0.0038023258679679432,0.13603103881332942,0.13560682359384654,50.59843673668784,49.36492427943332,0.03663898387884709,7.48656570591109,92.51343429408891,0.0,US30,A_5m_30m_1h,5min
any,10,19759,48.74234526038767,-0.002275817587793862,0.0,0.11184572270845536,0.11387356412483836,49.99746950756617,49.97722556809555,0.025304924338276226,7.6218432106888,92.3781567893112,0.0,US30,A_5m_30m_1h,5min
long,20,11571,50.93768905021173,0.0013878605938621265,0.0020239965025340436,0.1388838873814033,0.14166998026066785,49.589490968801314,50.41050903119869,0.0,7.717569786535304,92.28243021346469,0.0,US30,A_5m_30m_1h,5min
short,20,8188,46.23839765510503,-0.006751191858250642,-0.009417972174102571,0.19294977948828027,0.19188646879349106,50.63507572056668,49.36492427943332,0.0,7.48656570591109,92.51343429408891,0.0,US30,A_5m_30m_1h,5min
any,20,19759,48.99033351890278,-0.0019849093579522034,0.0,0.1612884384503394,0.16247936373689423,50.02277443190445,49.97722556809555,0.0,7.6218432106888,92.3781567893112,0.0,US30,A_5m_30m_1h,5min
long,5,4374,50.0,0.0044109523971413815,0.00011860567172149587,0.11487474824700891,0.11451438722085273,50.82304526748971,49.131229995427525,0.04572473708276177,5.189757658893461,94.81024234110654,0.0,US30,B_15m_1h_4h,15min
short,5,2709,47.80361757105943,-0.009802293321889704,-0.0011918098824875456,0.17178379493355408,0.17459444524832504,49.90771502399409,49.83388704318937,0.2583979328165375,6.9398301956441495,93.06016980435585,0.0,US30,B_15m_1h_4h,15min
any,5,7083,49.159960468727945,-0.001025117439489314,0.0,0.13664047004198998,0.13749291004965727,50.47296343357335,49.399971763377096,0.12706480304955528,5.859099251729493,94.14090074827051,0.0,US30,B_15m_1h_4h,15min
long,10,4374,51.028806584362144,0.006771577556018176,0.002074862330239612,0.16234119061465985,0.16318094701585215,50.84590763603109,49.15409236396891,0.0,5.189757658893461,94.81024234110654,0.0,US30,B_15m_1h_4h,15min
short,10,2709,46.99150978220746,-0.011136286188238935,-0.008871015435566858,0.24802349304788773,0.24907922840042276,50.09228497600591,49.83388704318937,0.07382798080472498,6.9398301956441495,93.06016980435585,0.0,US30,B_15m_1h_4h,15min
any,10,7083,49.48468163207681,-7.755457488575267e-05,0.0,0.19511167731402657,0.19603403811719367,50.557673302273045,49.41409007482705,0.028236622899901174,5.859099251729493,94.14090074827051,0.0,US30,B_15m_1h_4h,15min
long,20,4374,51.028806584362144,0.01335890966243768,0.004987945681438289,0.2360031901387642,0.2381650497113625,50.84590763603109,49.15409236396891,0.0,5.189757658893461,94.81024234110654,0.0,US30,B_15m_1h_4h,15min
short,20,2709,46.62236987818383,-0.017703740495312353,-0.01865737336767309,0.3565903173200137,0.3493424123904565,50.129198966408275,49.83388704318937,0.03691399040236249,6.9398301956441495,93.06016980435585,0.0,US30,B_15m_1h_4h,15min
any,20,7083,49.3434985175773,0.0014785313937175286,0.0,0.2821235526312116,0.28068650608545054,50.57179161372299,49.41409007482705,0.014118311449950587,5.859099251729493,94.14090074827051,0.0,US30,B_15m_1h_4h,15min
long,5,2399,51.43809920800333,0.004906284863928404,0.0028869610404607593,0.15800528275404674,0.15988195111472153,49.187161317215505,50.81283868278449,0.0,4.751979991663193,95.24802000833681,0.0,US30,C_30m_4h_1d,30min
short,5,1057,47.30368968779565,-0.003039314661255625,-0.0030950170225861177,0.2886580849512778,0.2880141964951147,50.14191106906338,49.57426679280984,0.28382213812677387,6.811731315042574,93.18826868495744,0.0,US30,C_30m_4h_1d,30min
any,5,3456,50.173611111111114,0.0024761637128521523,0.0005763466197226193,0.19796477694457718,0.1990705458389911,49.47916666666667,50.43402777777778,0.08680555555555555,5.381944444444445,94.61805555555556,0.0,US30,C_30m_4h_1d,30min
long,10,2399,52.73030429345561,0.01860516607108865,0.01409134321814965,0.2366192324971618,0.23709752848426704,49.187161317215505,50.81283868278449,0.0,4.751979991663193,95.24802000833681,0.0,US30,C_30m_4h_1d,30min
short,10,1057,48.62819299905393,-0.011922498995810623,0.0,0.41683799962313284,0.40836316430846137,50.42573320719016,49.57426679280984,0.0,6.811731315042574,93.18826868495744,0.0,US30,C_30m_4h_1d,30min
any,10,3456,51.47569444444444,0.009268435175338496,0.0052156008114562545,0.2917382246418815,0.28947825101498853,49.56597222222222,50.43402777777778,0.0,5.381944444444445,94.61805555555556,0.0,US30,C_30m_4h_1d,30min
long,20,2399,53.85577323884952,0.027667260122455066,0.02793735049152276,0.370315343274073,0.3613712144964257,49.187161317215505,50.81283868278449,0.0,4.751979991663193,95.24802000833681,0.0,US30,C_30m_4h_1d,30min
short,20,1057,46.26300851466414,-0.05386157412314856,-0.04478983677883761,0.6113164730387488,0.6120424221241092,50.42573320719016,49.57426679280984,0.0,6.811731315042574,93.18826868495744,0.0,US30,C_30m_4h_1d,30min
any,20,3456,51.53356481481482,0.002732081361574564,0.012875788921562582,0.4440243114920308,0.43803772678301756,49.56597222222222,50.43402777777778,0.0,5.381944444444445,94.61805555555556,0.0,US30,C_30m_4h_1d,30min
