side,entry_time,exit_time,entry,exit,reason,pnl,bars,set,side_s
1,2022-11-22 10:00:00,2022-11-22 12:00:00,1.02666,1.028977857142857,tp,1009.5330275840839,4,C_30m_4h_1d,long
1,2022-11-22 17:30:00,2022-11-23 02:00:00,1.02815,1.0321142857142855,tp,1026.3585780437734,17,C_30m_4h_1d,long
1,2022-11-23 05:00:00,2022-11-23 05:30:00,1.0324499999999999,1.0312071428571428,sl,-626.0787326066902,1,C_30m_4h_1d,long
1,2022-11-23 06:00:00,2022-11-23 09:00:00,1.03162,1.0337592857142857,tp,1033.0299088009674,6,C_30m_4h_1d,long
1,2022-11-23 13:30:00,2022-11-23 16:30:00,1.0318,1.0356285714285713,tp,1050.247073947722,6,C_30m_4h_1d,long
1,2022-11-24 00:30:00,2022-11-24 04:30:00,1.03954,1.0429935714285712,tp,1067.7511918468047,8,C_30m_4h_1d,long
1,2022-11-24 07:00:00,2022-11-24 09:00:00,1.0447,1.0429042857142856,sl,-651.3282270265784,4,C_30m_4h_1d,long
1,2022-11-24 14:00:00,2022-11-25 14:30:00,1.04054,1.0380789285714287,sl,-644.8149447563126,49,C_30m_4h_1d,long
1,2022-11-25 17:00:00,2022-11-28 03:30:00,1.03822,1.0353871428571428,sl,-638.3667953087495,21,C_30m_4h_1d,long
1,2022-11-29 10:00:00,2022-11-29 10:00:00,1.03815,1.035702857142857,sl,-631.983127355662,0,C_30m_4h_1d,long
1,2022-11-29 12:30:00,2022-11-29 15:30:00,1.03771,1.0348439285714284,sl,-625.6632960821053,6,C_30m_4h_1d,long
1,2022-11-29 17:30:00,2022-11-29 18:00:00,1.0367899999999999,1.0334514285714285,sl,-619.4066631212843,1,C_30m_4h_1d,long
1,2022-11-30 01:00:00,2022-11-30 06:30:00,1.03268,1.035694285714286,tp,1022.0209941501943,11,C_30m_4h_1d,long
1,2022-11-30 11:00:00,2022-11-30 13:00:00,1.03688,1.0351946428571428,sl,-623.4328064315733,4,C_30m_4h_1d,long
1,2022-11-30 13:30:00,2022-11-30 16:30:00,1.0359099999999999,1.0394599999999998,tp,1028.664130612096,6,C_30m_4h_1d,long
1,2022-11-30 21:00:00,2022-12-01 03:00:00,1.0372299999999999,1.0442585714285713,tp,1045.8085327889974,12,C_30m_4h_1d,long
1,2022-12-01 06:30:00,2022-12-01 09:00:00,1.04335,1.0460285714285715,tp,1063.2386750021144,5,C_30m_4h_1d,long
1,2022-12-01 11:00:00,2022-12-01 12:30:00,1.04446,1.0418725,sl,-648.5755917512897,3,C_30m_4h_1d,long
1,2022-12-01 13:30:00,2022-12-01 15:30:00,1.04349,1.0486239285714285,tp,1070.1497263896435,4,C_30m_4h_1d,long
1,2022-12-02 05:30:00,2022-12-02 10:30:00,1.0519399999999999,1.0543739285714284,tp,1087.985555162822,10,C_30m_4h_1d,long
1,2022-12-02 12:00:00,2022-12-02 15:30:00,1.05307,1.0512646428571428,sl,-663.6711886493016,7,C_30m_4h_1d,long
1,2022-12-02 18:30:00,2022-12-05 03:00:00,1.04914,1.0555882142857143,tp,1095.0574612713351,17,C_30m_4h_1d,long
1,2022-12-05 12:00:00,2022-12-05 12:00:00,1.05599,1.0541225,sl,-667.9850513755221,0,C_30m_4h_1d,long
1,2022-12-06 08:00:00,2022-12-06 08:00:00,1.04946,1.0478539285714286,sl,-661.3052008617668,0,C_30m_4h_1d,long
1,2022-12-06 10:00:00,2022-12-06 14:00:00,1.04911,1.0524850000000001,tp,1091.1535814218673,8,C_30m_4h_1d,long
1,2022-12-06 18:30:00,2022-12-06 19:00:00,1.0517999999999998,1.049217857142857,sl,-665.6036846673678,1,C_30m_4h_1d,long
1,2022-12-07 04:00:00,2022-12-07 05:00:00,1.0473,1.0461996428571427,sl,-658.9476478206941,2,C_30m_4h_1d,long
1,2022-12-07 09:30:00,2022-12-07 11:30:00,1.04586,1.0483010714285714,tp,1087.2636189042114,4,C_30m_4h_1d,long
1,2022-12-07 20:30:00,2022-12-09 03:00:00,1.0518699999999999,1.0575414285714284,tp,1105.3846792192444,61,C_30m_4h_1d,long
1,2022-12-09 18:00:00,2022-12-12 02:30:00,1.0541399999999999,1.0511496428571427,sl,-674.2846543237218,17,C_30m_4h_1d,long
1,2022-12-12 15:30:00,2022-12-12 16:30:00,1.05712,1.05505,sl,-667.5418077804845,2,C_30m_4h_1d,long
1,2022-12-13 08:00:00,2022-12-13 10:30:00,1.05522,1.0540403571428572,sl,-660.8663897026797,5,C_30m_4h_1d,long
1,2022-12-13 12:00:00,2022-12-13 15:30:00,1.05437,1.0570878571428572,tp,1090.4295430093919,7,C_30m_4h_1d,long
1,2022-12-13 22:00:00,2022-12-15 16:00:00,1.06368,1.0705692857142857,tp,1108.6033687262807,84,C_30m_4h_1d,long
1,2022-12-16 08:30:00,2022-12-16 09:30:00,1.0651199999999998,1.0639467857142857,sl,-676.2480549230098,2,C_30m_4h_1d,long
1,2022-12-16 11:00:00,2022-12-16 11:00:00,1.06561,1.0638346428571428,sl,-669.4855743737797,0,C_30m_4h_1d,long
1,2022-12-16 20:30:00,2022-12-19 00:00:00,1.06106,1.0584446428571428,sl,-662.7907186300419,7,C_30m_4h_1d,long
1,2022-12-19 02:30:00,2022-12-19 08:30:00,1.05962,1.0622967857142855,tp,1093.6046857394479,12,C_30m_4h_1d,long
1,2022-12-19 16:30:00,2022-12-19 17:30:00,1.06104,1.0587332142857144,sl,-667.0988583011359,2,C_30m_4h_1d,long
1,2022-12-19 18:30:00,2022-12-20 07:30:00,1.0612,1.0586660714285714,sl,-660.4278697181246,26,C_30m_4h_1d,long
1,2022-12-20 08:30:00,2022-12-20 11:30:00,1.06,1.0635678571428573,tp,1089.705985034883,6,C_30m_4h_1d,long
1,2022-12-20 17:00:00,2022-12-20 20:00:00,1.06362,1.0609607142857143,sl,-664.7206508712922,6,C_30m_4h_1d,long
1,2022-12-21 08:00:00,2022-12-21 09:30:00,1.06182,1.0633807142857143,tp,1096.7890739376319,3,C_30m_4h_1d,long
1,2022-12-21 14:30:00,2022-12-21 17:00:00,1.062,1.0600339285714286,sl,-669.0413351019555,5,C_30m_4h_1d,long
1,2022-12-21 17:30:00,2022-12-21 19:00:00,1.06189,1.0594471428571428,sl,-662.350921750936,3,C_30m_4h_1d,long
1,2022-12-22 12:00:00,2022-12-22 12:30:00,1.0647,1.0628442857142857,sl,-655.7274125334266,1,C_30m_4h_1d,long
1,2022-12-22 15:00:00,2022-12-22 15:30:00,1.06375,1.0614914285714285,sl,-649.1701384080923,1,C_30m_4h_1d,long
1,2022-12-22 22:00:00,2022-12-23 09:30:00,1.05932,1.0630575,tp,1071.1307283733731,23,C_30m_4h_1d,long
1,2022-12-23 12:00:00,2022-12-23 15:30:00,1.06104,1.0596407142857143,sl,-653.389744307745,7,C_30m_4h_1d,long
1,2022-12-23 17:00:00,2022-12-27 04:00:00,1.0613,1.0654071428571426,tp,1078.0930781077793,52,C_30m_4h_1d,long
1,2022-12-27 08:00:00,2022-12-27 10:00:00,1.06562,1.0643010714285714,sl,-657.6367776457454,4,C_30m_4h_1d,long
1,2022-12-27 10:30:00,2022-12-27 14:30:00,1.06564,1.064010357142857,sl,-651.0604098692878,8,C_30m_4h_1d,long
1,2022-12-27 17:30:00,2022-12-28 02:00:00,1.06497,1.0628678571428571,sl,-644.5498057705951,17,C_30m_4h_1d,long
1,2022-12-28 03:30:00,2022-12-28 14:30:00,1.06385,1.0657535714285713,tp,1063.507179521523,22,C_30m_4h_1d,long
1,2022-12-28 20:00:00,2022-12-29 00:00:00,1.06297,1.0606246428571429,sl,-648.7393795081043,8,C_30m_4h_1d,long
1,2022-12-29 07:00:00,2022-12-29 08:30:00,1.06257,1.0615585714285716,sl,-642.2519857130234,3,C_30m_4h_1d,long
1,2022-12-29 10:00:00,2022-12-29 10:00:00,1.0624,1.0640482142857142,tp,1059.7157764263457,0,C_30m_4h_1d,long
1,2022-12-29 17:30:00,2022-12-29 19:30:00,1.06527,1.0690199999999999,tp,1077.3777060336367,4,C_30m_4h_1d,long
1,2022-12-30 10:00:00,2022-12-30 10:30:00,1.06515,1.0670196428571428,tp,1095.3340011340247,1,C_30m_4h_1d,long
