side,horizon_5m,n,hit_pct,mean_ret,median_ret,mean_mfe,mean_mae,first_close_favor_pct,first_close_adverse_pct,symbol,panel,min_agree,n_agents
long,3,2716,48.01178203240059,-0.0012384464746434396,-0.0008824645772987305,0.033299598159680546,0.03400067636121913,48.564064801178205,51.435935198821795,EURUSD,abc_plus_dvmr_mv,2,7
short,3,1806,47.120708748615726,-0.0012269392503603213,-0.0018091305539434546,0.03153113858812909,0.03205183167850366,46.23477297895903,53.76522702104097,EURUSD,abc_plus_dvmr_mv,2,7
any,3,4522,47.65590446704998,-0.0012338507101464665,-0.0009319838713513482,0.032593309352466494,0.03322234520310676,47.63379035824856,52.36620964175144,EURUSD,abc_plus_dvmr_mv,2,7
long,5,2716,47.82768777614139,-0.00019656950891969134,-0.0013018429170712988,0.04290795657866322,0.043356832116724406,48.564064801178205,51.435935198821795,EURUSD,abc_plus_dvmr_mv,2,7
short,5,1806,44.905869324473976,-0.0029299595536687955,-0.004252063549429237,0.04096810706428651,0.04152226970878157,46.23477297895903,53.76522702104097,EURUSD,abc_plus_dvmr_mv,2,7
any,5,4522,46.66076957098629,-0.001288233025243637,-0.002557087635326075,0.04213321791812268,0.04262414310550265,47.63379035824856,52.36620964175144,EURUSD,abc_plus_dvmr_mv,2,7
long,8,2716,47.45949926362297,-0.0014671517036735054,-0.002560924667638284,0.05393366201614106,0.05591618549785109,48.564064801178205,51.435935198821795,EURUSD,abc_plus_dvmr_mv,2,7
short,8,1806,45.570321151716506,-0.0045138441146065425,-0.00458509453794731,0.05153144527035581,0.05373315434045099,46.23477297895903,53.76522702104097,EURUSD,abc_plus_dvmr_mv,2,7
any,8,4522,46.70499778858912,-0.0026839421711978453,-0.003180350217347843,0.05297426275853642,0.05504432475696994,47.63379035824856,52.36620964175144,EURUSD,abc_plus_dvmr_mv,2,7
long,10,2716,49.37407952871871,-0.0003255337147955054,0.0,0.060480089281891414,0.06229875751303279,48.564064801178205,51.435935198821795,EURUSD,abc_plus_dvmr_mv,2,7
short,10,1806,44.6843853820598,-0.006502331941376495,-0.005843406041006252,0.057282520396778294,0.060378016612010504,46.23477297895903,53.76522702104097,EURUSD,abc_plus_dvmr_mv,2,7
