side,H,n,hit,mean,med,symbol,agent
short,10,1595,55.04702194357367,0.03000033400013272,0.006072345929402906,US30,agree_seA_r2A
any,10,3408,57.74647887323944,0.03429547142430333,0.011827380737635697,US30,agree_seA_r2A
long,20,1813,57.19801434087148,0.040846276986369695,0.020498277247911548,US30,agree_seA_r2A
short,20,1595,54.2319749216301,0.029039729528553507,0.005936764971972308,US30,agree_seA_r2A
any,20,3408,55.809859154929576,0.03532061877181077,0.013256147063059626,US30,agree_seA_r2A
long,5,717,63.04044630404463,0.04223667244577868,0.018838687765993102,US30,agree_seA_r2A_atr
short,5,772,62.04663212435233,0.03263840584247914,0.017673768597422708,US30,agree_seA_r2A_atr
any,5,1489,62.52518468770987,0.0372602709563581,0.01816950067616499,US30,agree_seA_r2A_atr
long,10,717,61.50627615062761,0.03782966481909946,0.022517001761460743,US30,agree_seA_r2A_atr
short,10,772,55.56994818652849,0.027221599080197594,0.011381113721427347,US30,agree_seA_r2A_atr
any,10,1489,58.42847548690396,0.03232971401289916,0.016641804818861516,US30,agree_seA_r2A_atr
long,20,717,55.23012552301255,0.025050745817419454,0.017167013583399497,US30,agree_seA_r2A_atr
short,20,772,54.66321243523316,0.023988785652840332,0.0137148552316252,US30,agree_seA_r2A_atr
any,20,1489,54.93619879113499,0.02450015263605271,0.015475831522875988,US30,agree_seA_r2A_atr
long,5,2161,63.90559925960203,0.03339545290568396,0.01625817989676056,US30,agree_2of_top4
short,5,1787,61.27588136541689,0.037376353971791766,0.013145201900189495,US30,agree_2of_top4
any,5,3948,62.71529888551165,0.03519734505490753,0.015003614913540351,US30,agree_2of_top4
long,10,2161,60.94400740397964,0.039640879661370206,0.018380663541953862,US30,agree_2of_top4
short,10,1787,55.7358701734751,0.036060633334819785,0.007725252924780758,US30,agree_2of_top4
any,10,3948,58.58662613981763,0.03802033756776696,0.013905891931579744,US30,agree_2of_top4
long,20,2161,58.30633965756594,0.04327144937004177,0.023730422401518746,US30,agree_2of_top4
short,20,1787,54.28091773922775,0.0313195031682086,0.005936764971972308,US30,agree_2of_top4
any,20,3948,56.48429584599798,0.03786158922245417,0.016422339120595517,US30,agree_2of_top4
long,5,1307,58.91354246365723,0.02517503370832941,0.011614764585498734,US30,agree_seB_r2B_epB
short,5,892,58.52017937219731,0.028964139790155368,0.011947322741417216,US30,agree_seB_r2B_epB
any,5,2199,58.75397908140063,0.026712042632835435,0.011833374257085973,US30,agree_seB_r2B_epB
long,10,1307,61.208875286916594,0.04491787033734638,0.022202448966521997,US30,agree_seB_r2B_epB
short,10,892,59.08071748878923,0.06531179337827678,0.021280517422829534,US30,agree_seB_r2B_epB
any,10,2199,60.345611641655296,0.05319043939260328,0.022127749027070535,US30,agree_seB_r2B_epB
long,20,1307,61.43840856924254,0.06499856094046816,0.032207600993841595,US30,agree_seB_r2B_epB
short,20,892,60.31390134529148,0.08569565324166403,0.03678753235253891,US30,agree_seB_r2B_epB
any,20,2199,60.98226466575716,0.0733941072490933,0.03254428241336564,US30,agree_seB_r2B_epB
