side,horizon_m1,n,hit_pct,mean_ret,median_ret,mean_mfe,mean_mae,first_close_favor_pct,first_close_adverse_pct,symbol,panel,min_agree,n_agents
long,5,186,63.44086021505376,0.0079829089114288,0.005482716795856758,0.02405398811699612,0.01530811123770204,58.60215053763441,41.39784946236559,EURUSD,abc_plus_research,4,10
short,5,99,59.59595959595959,0.0057547081967328955,0.005459657679458855,0.021457599569825053,0.013238698483569459,59.5959595959596,39.39393939393939,EURUSD,abc_plus_research,4,10
any,5,285,62.10526315789474,0.0072089023473765395,0.005459657679458855,0.023152084726926172,0.014589262596792829,58.94736842105263,40.70175438596491,EURUSD,abc_plus_research,4,10
long,10,186,61.29032258064516,0.01043845492142118,0.008527173310913919,0.035052779169034105,0.02201620791295427,58.60215053763441,41.39784946236559,EURUSD,abc_plus_research,4,10
short,10,99,61.61616161616161,0.008008258820118047,0.005303445471736966,0.030462199351587796,0.017883951834922286,60.60606060606061,39.39393939393939,EURUSD,abc_plus_research,4,10
any,10,285,61.40350877192983,0.00959428153886325,0.007612160426288597,0.033458156706131705,0.02058079264374316,59.29824561403509,40.70175438596491,EURUSD,abc_plus_research,4,10
long,20,186,61.29032258064516,0.017491306897851132,0.010103535291996634,0.05323944396928676,0.029657891454684865,58.60215053763441,41.39784946236559,EURUSD,abc_plus_research,4,10
short,20,99,64.64646464646465,0.017871445322708755,0.008486803021300941,0.04354907893508915,0.024191864457706803,60.60606060606061,39.39393939393939,EURUSD,abc_plus_research,4,10
any,20,285,62.4561403508772,0.017623354982275363,0.009939122872416451,0.049873317167933896,0.02775916628731354,59.29824561403509,40.70175438596491,EURUSD,abc_plus_research,4,10
long,30,186,60.752688172043015,0.019154886641453733,0.01430845906823629,0.06334018139322772,0.035316670775965904,58.60215053763441,41.39784946236559,EURUSD,abc_plus_research,4,10
short,30,99,59.59595959595959,0.016864437124164113,0.009726852302173909,0.05543530974235435,0.029808352558290233,60.60606060606061,39.39393939393939,EURUSD,abc_plus_research,4,10
any,30,285,60.35087719298245,0.018359256809132078,0.011903998827930948,0.060594278609240146,0.03340325497403646,59.29824561403509,40.70175438596491,EURUSD,abc_plus_research,4,10
long,60,186,55.376344086021504,0.011795981186424187,0.007078348508739327,0.08548105534223306,0.05945538236394123,58.60215053763441,41.39784946236559,EURUSD,abc_plus_research,4,10
short,60,99,50.505050505050505,0.029859061225644364,0.0009263290506114245,0.08694734584550258,0.045697001293670686,60.60606060606061,39.39393939393939,EURUSD,abc_plus_research,4,10
any,60,285,53.68421052631579,0.018070524778995404,0.0049625821307226975,0.08599039835915827,0.054676155255320935,59.29824561403509,40.70175438596491,EURUSD,abc_plus_research,4,10
long,5,3600,54.333333333333336,0.0040919435216735045,0.0025618255027373667,0.021381998955432965,0.017078319311852996,53.361111111111114,46.638888888888886,EURUSD,abc_plus_research_longOnly,2,10
any,5,3600,54.333333333333336,0.0040919435216735045,0.0025618255027373667,0.021381998955432965,0.017078319311852996,53.361111111111114,46.638888888888886,EURUSD,abc_plus_research_longOnly,2,10
long,10,3600,55.02777777777778,0.005428728047784824,0.003533054336212111,0.030719645647380563,0.024266897845203278,53.361111111111114,46.638888888888886,EURUSD,abc_plus_research_longOnly,2,10
